"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","day","trophic_type"
"sample_00002",58.4062231404959,6.28382042694782,282.231446280991,47.910902086312,65.9109719008265,6.0515237473848,28.0940801652893,3.52413282604435,12.9608367768595,2.6187309038983,2.27955371900826,0.611550828500968,-0.1,0.62,5,121,144.98,114,22.78,396.12,79.22,8.23,0.29,1.51,35.57,170.78,7.15,"sample_00002-5","22.09.22",0,0,"autotrophic"
"sample_00002",56.6689024390244,5.30729341260242,268.974329268292,47.461886439034,62.7431926829269,4.90014216696439,26.2058378048781,2.4274936833446,13.1301987804878,2.39721408304244,2.06562601626016,0.430912706506877,0.08,0.63,5,123,261.18,234,46.71,410.41,82.08,6.99,0.23,1.53,37.45,174.79,5.74,"sample_00002-50","22.09.22",0,0,"autotrophic"
"sample_00002",53.0070512820513,4.55498902851945,211.550192307692,38.5215063325218,55.2276692307692,5.43863000369161,23.5886538461538,2.14064293371311,11.38185,1.53713579614472,2.10261538461538,0.30489511702988,0,0.29,2.28,39,238.91,239,104.78,249.23,109.31,17.16,1.79,4.13,39.37,210.69,44.72,"sample_00002-500","22.09.22",0,0,"autotrophic"
"sample_00002",60.9795641025641,6.21717689696466,237.625961538461,46.2207804591729,53.4665423076923,6.04798416807681,20.4878076923077,2.39139291403177,14.7133384615385,1.9376413555383,1.41115384615385,0.218608221839597,0.05,0.7,1.56,39,55.75,56,35.74,136.48,87.49,5.83,0.52,1.44,36.08,145.69,12.9,"sample_00002-55","22.09.22",0,0,"autotrophic"
"sample_00002",67.378192,6.6859263125155,459.66366,66.9995510280335,80.3416644,7.17799245710292,31.5911016,3.45656026745926,18.5747256,2.26400855912494,1.729464,0.306159181240845,0,0.63,5,125,111.5,96,19.27,397.3,79.46,6.58,0.42,1.24,31.09,164.42,10.44,"sample_00002-57","22.09.22",0,0,"autotrophic"
"sample_00002",62.329352,5.63947495018876,304.03674,35.5075050367365,65.3552064,5.11923731270089,26.5380624,2.63195359005202,14.6742192,1.84614387455469,1.846824,0.347729897589234,0.07,0.62,5,125,209.46,209,41.89,416.96,83.39,6.52,0.12,1.33,33.27,162.91,3.04,"sample_00002-59","22.09.22",0,0,"autotrophic"
"sample_00002",56.9941538461539,3.47582927279279,295.245,58.6592333642503,60.3081346153846,6.76304640488482,23.0051423076923,3.12646193424053,16.2362423076923,1.74836698708201,1.42302564102564,0.179868297897084,0.06,0.71,1.56,39,98.09,98,62.88,146.31,93.79,6.23,0.34,1.66,42.47,155.86,8.52,"sample_00002-6","22.09.22",0,0,"autotrophic"
"sample_00002",57.6846055045872,5.07248361627486,251.153876146789,44.5132658967753,57.1906073394495,5.74600175760255,22.7428678899083,2.50112477070524,14.0742701834862,2.0999350964741,1.65489908256881,0.331370022140242,-0.26,0.68,4.56,109,124.26,115,25.31,370.04,81.15,16.03,0.61,1.92,32.22,164.57,15.17,"sample_00002-62","22.09.22",0,0,"autotrophic"
"sample_00002",66.2848705882353,4.86810844459029,297.367676470588,33.652093087428,62.4186,3.79702329138987,24.3496958823529,2.02507216472254,15.6043641176471,1.83260819559128,1.58877647058823,0.279222021937766,0.03,0.34,3.4,85,196.48,196,57.79,374.29,110.09,8.08,1.21,1.61,40.18,202.03,30.31,"sample_00002-7","22.09.22",0,0,"autotrophic"
"sample_00002",68.755776,6.0186566900468,512.80776,43.0527955552643,87.2315568,5.10429332958534,35.788878,2.86150126383326,18.320256,1.70468724265366,1.977984,0.293671831988064,0.03,0.53,5,125,191.17,144,28.82,397.47,79.49,5.38,1.21,1.07,26.68,134.61,30.15,"sample_00002-70","22.09.22",0,0,"autotrophic"
